program - program
nome1 - id
; - ;
var - var
a - id
, - ,
a1 - id
, - ,
b - id
: - :
integer - integer
; - ;
begin - begin
read - read
( - (
a - id
) - )
; - ;
a1 - id
:= - :=
a1 - id
* - *
2 - number_int
; - ;
while - while
( - (
a1 - id
> - >
0 - number_int
) - )
do - do
begin - begin
write - write
( - (
a1 - id
) - )
; - ;
a1 - id
:= - :=
a1 - id
- - -
1 - number_int
; - ;
end - end
; - ;
for - for
b - id
:= - :=
1 - number_int
to - to
10 - number_int
do - do
begin - begin
b - id
:= - :=
b - id
+ - +
2 - number_int
; - ;
a - id
:= - :=
a - id
- - -
1 - number_int
; - ;
end - end
; - ;
if - if
a - id
<> - <>
b - id
then - id
write - write
( - (
a - id
) - )
; - ;
end - end
. - .
